mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
88.53258728981018,2.110736452994716,0.08339516321818034,0.007399155526555937,0.0001,"(64, 64, 32)",32,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.01}",-0.0031403765778173307,-0.002310584544299306,-0.002322329128414387,-0.002591096750177008,0.0003884290845645197,2
39.2263970375061,1.6767319575114572,0.12356138229370117,0.016540266301022198,0.0005,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.005915108109327461,-0.0021141980554188478,-0.002024460366766901,-0.0033512555105044035,0.0018132876816361228,4
53.60288166999817,6.319600872525362,0.1032714049021403,0.031224294438042654,0.0005,"(64, 64, 32)",32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.001}",-0.0016733126338278241,-0.0017907991361818323,-0.0025361576735039282,-0.002000089814504528,0.0003820796877162276,1
22.519434452056885,1.0301747226604532,0.0358583132425944,0.015527640085050469,0.0005,"(32, 16)",128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.001}",-0.0065370755538838796,-0.002515041828998308,-0.0023667295537778657,-0.003806282312220018,0.0019319114764541762,7
24.168160915374756,1.1052596517554125,0.05237770080566406,0.019883509093420525,0.001,"(128, 64)",64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 0.0001}",-0.004436924470979147,-0.0025118945869961563,-0.0030341872033452576,-0.0033276687537735204,0.0008128278123884231,3
34.27399102846781,0.46844299014955304,0.04380265871683756,0.02855313221410035,0.0001,"(32, 16)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.009653742509374244,-0.005718275628552034,-0.00551778695234348,-0.006963268363423254,0.001904212396214421,9
18.709421316782635,0.2623460783847865,0.03278168042500814,0.005098687152305622,0.0001,"(32, 16)",128,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.01}",-0.020238655889664097,-0.013978233590498167,-0.015593358905343203,-0.016603416128501823,0.0026537248710086334,10
17.441662629445393,2.5100039634655666,0.027385393778483074,0.0019874122885650226,0.001,"(64, 32)",128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__batch_size': 128, 'model__alpha': 0.0001}",-0.003706821436799456,-0.002782735453641395,-0.004117599095495693,-0.0035357186619788482,0.0005582247786508071,6
42.40034739176432,0.2954976889361325,0.06257772445678711,0.01677371204752424,0.0001,"(128, 64)",128,0.0001,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 128, 'model__alpha': 0.0001}",-0.005128335826814051,-0.004389062536551311,-0.0036556565304410715,-0.0043910182979354775,0.0006012203956638791,8
45.70352045694987,1.7669351480375068,0.04477818806966146,0.021232864140522754,0.0001,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.00495292380368038,-0.0029742176975255676,-0.0024568653881842165,-0.003461335629796721,0.0010756516825774032,5
