mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
19.183837572733562,4.658418190454715,0.03502567609151205,0.002820248795786359,0.0001,"(64, 64, 32)",32,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.01}",0.804043438268244,0.7956407267174943,0.7974695166740121,0.7990512272199167,0.003608115532106761,5
4.991355021794637,1.3342230706386062,0.03981963793436686,0.0043861144347975825,0.0005,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.8147553374911316,0.7855267257477122,0.7970865665384114,0.7991228765924184,0.01201909189827934,4
8.49835236867269,2.8279135175463073,0.034058729807535805,0.00022771211362238806,0.0005,"(64, 64, 32)",32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.001}",0.8145627093335973,0.7927340630770977,0.7926642765296135,0.7999870163134362,0.010306610752458293,3
3.880169153213501,0.9172194980221908,0.02656730016072591,0.0022191775365936746,0.0005,"(32, 16)",128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.001}",0.8007726781501097,0.7967052172208523,0.7939303228830863,0.7971360727513493,0.002809944692950448,6
5.246061404546102,0.9351650662151323,0.03570254643758138,0.004989138065210171,0.001,"(128, 64)",64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 0.0001}",0.8106919970631424,0.8036102714357931,0.8008153784191092,0.8050392156393483,0.0041567864280452295,1
6.3795138994852705,0.4203395186372451,0.024762392044067383,0.001322523954763569,0.0001,"(32, 16)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.7910288694748305,0.7722735197928381,0.7755627468749123,0.779621712047527,0.00817708929990077,9
3.641107161839803,0.543509592308153,0.02696990966796875,0.003145820179706048,0.0001,"(32, 16)",128,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.01}",0.7813426017588148,0.7462268258209618,0.7589246364037021,0.7621646879944929,0.014517871300862555,10
3.434067964553833,1.3313359897969292,0.028318405151367188,0.004423643939441697,0.001,"(64, 32)",128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__batch_size': 128, 'model__alpha': 0.0001}",0.8051410475341946,0.8015260654706021,0.8000921886425572,0.8022531005491179,0.002124331899831246,2
6.332311789194743,2.043139299631106,0.039812962214152016,0.011213799102788403,0.0001,"(128, 64)",128,0.0001,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 128, 'model__alpha': 0.0001}",0.7731942657031134,0.7938771678238712,0.793479696214901,0.7868503765806286,0.009657691896246016,7
6.788132429122925,2.5823381796448515,0.028182347615559895,0.0039072433345701835,0.0001,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.8094058844396046,0.7414876868635806,0.7947246968173872,0.7818727560401908,0.029178755705700016,8
