id,price,price_per_guest,accommodates,room_type,neighbourhood_cleansed,minimum_nights,availability_365,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost,host_response_rate,host_acceptance_rate
1345094863321531719,482.0,120.5,4.0,Entire home/apt,Cuauhtémoc,3.0,176.0,0.0,0.0,f,1.0,0.92
816947006231232313,2000.0,1000.0,2.0,Entire home/apt,Cuauhtémoc,62.0,364.0,0.0,0.0,f,,
1344941840175927793,457.0,228.5,2.0,Private room,Cuauhtémoc,2.0,127.0,24.0,10968.0,t,0.96,0.99
1281238771302918382,1240.0,620.0,2.0,Entire home/apt,Cuauhtémoc,1.0,356.0,150.0,186000.0,f,1.0,1.0
1290302687624377770,984.0,246.0,4.0,Entire home/apt,Miguel Hidalgo,1.0,365.0,30.0,29520.0,f,1.0,0.99
47531918,2047.0,1023.5,2.0,Private room,Cuauhtémoc,2.0,223.0,210.0,429870.0,t,1.0,0.99
45174852,902.0,180.4,5.0,Entire home/apt,Cuauhtémoc,2.0,306.0,192.0,173184.0,f,1.0,0.94
1216689871286017343,2109.0,527.25,4.0,Entire home/apt,Miguel Hidalgo,30.0,179.0,0.0,0.0,f,0.74,0.98
851457611260443325,431.0,215.5,2.0,Private room,Benito Juárez,3.0,45.0,102.0,43962.0,t,1.0,0.73
1206751882322062367,900.0,450.0,2.0,Entire home/apt,Benito Juárez,1.0,316.0,255.0,229500.0,t,1.0,1.0
742883542505309391,4569.0,1142.25,4.0,Entire home/apt,Cuauhtémoc,1.0,310.0,120.0,548280.0,,1.0,0.99
