mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10.121329545974731,0.326931966166505,0.018118619918823242,0.00016402643771004345,0.0001,"(64, 64, 32)",32,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.01}",0.8030214159613258,0.8033380102961962,0.7878705909151683,0.7980766723908967,0.0072179467214309595,5
3.8658161958058677,0.9563704220703597,0.027653614679972332,0.005415150762180723,0.0005,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.8140119454206471,0.7921718990188694,0.7995406661681712,0.8019081702025627,0.009071960950187695,3
7.554441769917806,2.4908568195758996,0.02216060956319173,0.0024790838476912804,0.0005,"(64, 64, 32)",32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.001}",0.8102214605091653,0.8147026173797316,0.7988956757996972,0.807939917896198,0.006651763077046768,1
1.6670502026875813,0.5288103081587355,0.01259311040242513,0.0005657183844422503,0.0005,"(32, 16)",128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.001}",0.8052467455328416,0.7853419513251967,0.789228454515593,0.7932723837912103,0.008614531564042252,6
3.189856767654419,0.3565067746123063,0.02515379587809245,0.004199599214915852,0.001,"(128, 64)",64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 0.0001}",0.8131983286310613,0.8142371220171466,0.7956824848181729,0.8077059784887936,0.008512464310657848,2
4.177556196848552,0.6780728491376665,0.012456337610880533,0.0008877960573240017,0.0001,"(32, 16)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.7820144285502153,0.7914328013288078,0.7659407120561617,0.7797959806450616,0.010524662692997198,9
2.345218022664388,0.36398505090709177,0.014730135599772135,0.0012064554670302796,0.0001,"(32, 16)",128,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.01}",0.7693679981520897,0.7838511694126629,0.7643441236136627,0.7725210970594718,0.008269934844196105,10
1.863766352335612,0.8054956167360587,0.016470670700073242,0.0012245336053252987,0.001,"(64, 32)",128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__batch_size': 128, 'model__alpha': 0.0001}",0.7897123364516822,0.8127236430789547,0.7947614237161679,0.7990658010822682,0.009875079967809125,4
6.46885085105896,3.128948243139588,0.03411706288655599,0.008098881451944264,0.0001,"(128, 64)",128,0.0001,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 128, 'model__alpha': 0.0001}",0.8060118959230478,0.7962687121501306,0.7652885001064667,0.7891897027265484,0.017362469534849382,8
7.773233731587728,3.0202492722324723,0.02474824587504069,0.008863185537134855,0.0001,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.8070100975102708,0.7974634010461266,0.7721700480173253,0.7922145155245742,0.014699668059324666,7
